hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_max_wind_kt,monthly_max_wind_mps,n_storms,storm_names,storm_ids,has_payout,payout_amount_usd
tc,DOM,Dominican Republic,2020,10,2020-10-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2020,11,2020-11-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2020,12,2020-12-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,1,2021-01-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,2,2021-02-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,3,2021-03-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,4,2021-04-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,5,2021-05-01,2020/21,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,6,2021-06-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,7,2021-07-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,8,2021-08-01,2021/22,40.0,40.0,20.57776,2,FRED | GRACE,2021222N14301 | 2021225N15313,0,0.0
tc,DOM,Dominican Republic,2021,9,2021-09-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,10,2021-10-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,11,2021-11-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2021,12,2021-12-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
tc,DOM,Dominican Republic,2022,1,2022-01-01,2021/22,0.0,0.0,0.0,0,,,0,0.0
